sb_name,team_key
Duke,duke
Siena,siena
Ohio State,ohio_state
TCU,tcu
St. John's,st_johns
Northern Iowa,northern_iowa
Kansas,kansas
Cal Baptist,cal_baptist
Louisville,louisville
South Florida,south_florida
Michigan St.,michigan_state
North Dakota State,north_dakota_state
UCLA,ucla
UCF,ucf
UConn,uconn
Furman,furman
Florida,florida
Prairie View A&M,prairie_view_am
Lehigh,lehigh
Clemson,clemson
Iowa,iowa
Vanderbilt,vanderbilt
McNeese,mcneese
Nebraska,nebraska
Troy,troy
North Carolina,north_carolina
VCU,vcu
Illinois,illinois
Penn,penn
St. Mary's,saint_marys
Texas A&M,texas_am
Houston,houston
Idaho,idaho
Arizona,arizona
LIU,liu
Villanova,villanova
Utah State,utah_state
Wisconsin,wisconsin
High Point,high_point
Arkansas,arkansas
Hawaii,hawaii
BYU,byu
Texas,texas
NC State,nc_state
Gonzaga,gonzaga
Kennesaw State,kennesaw_state
Miami,miami_fl
Missouri,missouri
Purdue,purdue
Queens,queens
Michigan,michigan
UMBC,umbc
Howard,howard
Georgia,georgia
Saint Louis,saint_louis
Texas Tech,texas_tech
Akron,akron
Alabama,alabama
Hofstra,hofstra
Tennessee,tennessee
Miami (OH),miami_oh
SMU,smu
Virginia,virginia
Wright State,wright_state
Kentucky,kentucky
Santa Clara,santa_clara
Iowa St.,iowa_state
Tennessee State,tennessee_state
